recipeName,ingredients,numberOfIngredients,prepTime,cookTime,totalTime,servings,cuisine,course,diet
Kodava Mudi Chekke Barthad Recipe - Raw Jackfruit & Black Chickpea Stir Fry,"Jackfruit Seeds, Kala Chana, Mustard Seeds, Cumin Seeds, Curry Leaves, Tomato, Tamarind Water, Turmeric Powder, Dry Red Chilli, Cumin Seeds, Coriander, Cloves, Cinnamon Stick, Fresh Coconut, Ginger, Garlic",16,10,45,55,4,Coorg,Lunch,Vegetarian
Whole Wheat Crepe Recipe With Herbed Vegetables,"Whole Wheat Flour, Salt, Italian Seasoning, Cheese Spread, Broccoli, Onion, Red Bell Pepper, Salt, Parsley Leaves",9,10,45,55,4,Coorg,Lunch,Vegetarian
Makki and Methi Roti Recipe,"Makki Ka Atta, Methi Leaves, Green Chilli, Ajwain, Kashmiri Red Chilli Powder, Salt",6,10,20,30,4,Punjabi,Lunch,Vegetarian
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,"Carrots, Cabbage, Green Bell Pepper, Turmeric Powder, Sugar, Lemon Juice, Salt, Sunflower Oil, Mustard Seeds, Asafoetida, Curry Leaves, Green Chilli",12,10,20,30,4,Gujarati Recipes﻿,Lunch,Vegetarian
Whole Wheat Pita Bread Recipe,"All Purpose Flour, Whole Wheat Flour, Active Dry Yeast, Salt, Sugar, Lukewarm Water, Extra Virgin Olive Oil",7,30,40,70,6,Continental,Main Course,Vegetarian
Andhra Style Tamati Pachadi Recipe (Tomato Chutney),"Tomato, Dry Red Chilli, Tamarind Paste, Red Chilli Powder, Turmeric Powder, Mustard Seeds, Methi Seeds, Garlic, Sunflower Oil, Salt",10,15,60,75,6,Andhra,Side Dish,Vegetarian
Herbed Brown Rice Recipe,"Brown Rice, Onion, Garlic, Oregano, Rosemary, Red Chilli Flakes, Salt, Oil, Water",9,10,20,30,4,Continental,Side Dish,Vegetarian
Aamras Recipe - Ripe Mango Ras,"Mango, Water, Sugar",3,10,5,15,4,North Indian Recipes,Side Dish,Vegan
Rajasthani Khooba Roti Recipe,"Whole Wheat Flour, Salt, Water, Ghee",4,20,25,45,4,Rajasthani,Lunch,Vegetarian
Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),"Ridge Gourd Skin, White Urad Dal, Methi Seeds, Dry Red Chilli, Curry Leaves, Tamarind, Mustard Seeds, Dry Red Chilli, Curry Leaves, Sunflower Oil, Salt",11,15,10,25,4,South Indian Recipes,Side Dish,Vegetarian
Dalia Pakora Recipe,"Broken Wheat, Salt, Sunflower Oil, Gram Flour, Onion, Coriander, Green Chilli, Salt, Turmeric Powder, Cumin Seeds, Ajwain, Sunflower Oil, Water, Enos Fruit Salt, Sunflower Oil",15,10,15,25,4,Indian,Snack,Vegetarian
Paneer Tikka Kathi Roll Recipe,"Whole Wheat Flour, Salt, Ghee, Ghee, Paneer, Hung Curd, Gram Flour, Ginger, Garlic, Kasuri Methi, Turmeric Powder, Chaat Masala Powder, Garam Masala Powder, Mint Leaves, Salt, Coal, Mint Leaves, Green Bell Pepper, Onion, Lemon, Salt",21,30,30,60,4,Bengali Recipes,Snack,Vegetarian
Pan Fried Rice Balls Filled With Cheese Recipe,"Extra Virgin Olive Oil, Butter, Onion, Jasmine Rice, Salt, Sweet Corn, Parsley Leaves, Parmesan Cheese, Mozzarella Cheese, All Purpose Flour, Whole Eggs, Whole Wheat Bread Crumbs, Sunflower Oil",13,20,45,65,4,Continental,Appetizer,Vegetarian
Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,"Fish Fillet, Prawns, Clamps, Baby Potato, Carrots, Onion, Tomato, Fresh Red Chilli, Garlic, Cumin Powder, Paprika Powder, Salt, Lemon Juice, Black Pepper Powder, Coriander, Extra Virgin Olive Oil, Chicken Stock, Coconut Milk",18,10,55,65,6,South Indian Recipes,Lunch,Non Vegeterian
Spicy Chilli Garlic Noodles Recipe,"Hakka Noodles, Water, Salt, Sunflower Oil, Sunflower Oil, Onion, Green Bell Pepper, Garlic, Soy Sauce, Red Chilli Sauce, White Vinegar, Tomato Ketchup, Dry Red Chilli, Salt, Black Pepper Powder",15,10,30,40,4,Asian,Dinner,Vegetarian
Chanar Dalna Recipe -Bengali Style Paneer & Potato Gravy,"Paneer, Potato, Bay Leaf, Dry Red Chilli, Panch Phoran Masala, Tomato, Turmeric Powder, Red Chilli Powder, Cumin Seeds, Ginger, Salt, Sugar, Sunflower Oil",13,15,60,75,4,Bengali Recipes,Lunch,Vegetarian
Cheesy Garlic Broccoli Nuggets Recipe,"Broccoli  Florets, Mozzarella Cheese, Nutralite Cheesy Garlic Mayo, Corn Flour, Whole Wheat Bread Crumbs, Salt, Nutralite Garlic & Oregano Spread",7,20,15,35,6,Indian,Snack,Eggetarian
Bengali Mooli Aloo Ki Sabzi  Recipe,"Mooli Mullangi, Potato, Onion, Green Chilli, Kasundi Mustard Sauce, Red Chilli Powder, Turmeric Powder, Mustard Seeds, Cumin Seeds, Kalonji, Mustard Oil, Sugar, Salt",13,15,20,35,4,Bengali Recipes,Lunch,Vegetarian
Beetroot Sambar ,"Chakundar, Arhar Dal, , Sambar Powder, Mustard, Asafoetida, Curry Leaves, Dry Red Chili, Sesame Oil, Coriander, Salt",11,10,45,55,3,South Indian Recipes,Lunch,High Protein Vegetarian
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"Whole Wheat Flour, Spinach, Kaddu, Red Chilli Powder, Turmeric Powder, Coriander Powder, Cumin Seeds, Salt, Water, Sunflower Oil",10,10,25,35,3,North Indian Recipes,Indian Breakfast,High Protein Vegetarian
Iranian Baida Curry Recipe,"Whole Egg, Onion, Jaggery, Salt, Sunflower Oil, Coriander, Fresh Coconut, Coriander, Dry Red Chilli, Sesame Seeds, Poppy Seeds, Ginger, Garlic, Badam",14,10,30,40,4,Middle Eastern,Lunch,Eggetarian
Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),"Gram Flour, Coconut Milk, Water, Ginger, Garlic, Ajwain, Asafoetida, Turmeric Powder, Baking Soda, Green Chilli  Finely, Onion, Tomato, Coriander, Salt, Sunflower Oil",15,20,30,50,4,North Indian Recipes,North Indian Breakfast,High Protein Vegetarian
Ulundu Kozhukattai Recipe - Uppu Kozhukattai/ Urad Dal Modak,"Rice Flour, Water, Sunflower Oil, Salt, White Urad Dal, Green Chilli, Ginger, Asafoetida, Salt, Sesame, Mustard Seeds, Curry Leaves",12,10,30,40,12,Maharashtrian Recipes,Snack,Vegetarian
Singapore Style Chicken Layered Fried Rice Recipe,"Boneless Chicken, Spring Onion Greens, Green Chilli, Garlic, Soy Sauce, Lemon Juice, Black Pepper Powder, Red Chilli Powder, Cumin Powder, Red Chilli Sauce, Sweet And Spicy Red Chilli Sauce, Salt, Red Chilli Sauce, Sunflower Oil, Rice, Garlic, Ginger, Green Chilli, Green Bell Pepper, Spring Onion, Onion, Carrots, Salt, Chinese  Spice Powder, White Pepper Powder, Sunflower Oil, Egg Noodles, Classic Mayonnaise, Tomato Ketchup, Red Chilli Sauce, Vinegar",31,30,45,75,12,Asian,Main Course,Vegetarian
Tofu Pulao ,"Rice, Ghee, Cumin Seeds, Bay Leaf, Lentil Sugar, , Green Chilli, Ginger Garlic Paste, Onion, Tomato, Capsicum, Red Chilli Powder, Turmeric Powder, Coriander Powder, Garam Masala Powder, Tofu, Salt, Coriander Garnish",18,20,45,65,4,Indian,Dinner,Vegetarian
Masala Sandwich Recipe With Rocket Leaves,"Paneer, Potato, Onion, Ginger, Garlic, Green Bell Pepper, Tomato, Pav Bhaji Masala, Salt, Coriander, French Bread Rye Breadmake Sandwiches, Rocket Leaves Salad Leaves For The Sandwich",12,15,15,30,2,Fusion,Indian Breakfast,Vegetarian
Tomato Relish Recipe,"Tomato, Onion, Red Wine Vinaigrette, Dried Oregano, Garlic, Black Pepper Powder, Dijon Mustard, Cane Sugar, Extra Virgin Olive Oil, Salt",10,0,30,30,4,Continental,Side Dish,Vegetarian
Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,"Onion, Garlic, Fresh Coconut, Coriander, Cumin Seeds, Red Chilli Powder, Turmeric Powder, Garam Masala Powder, Salt, Gram Flour, Red Chilli Powder, Turmeric Powder, Salt",13,10,35,45,4,Maharashtrian Recipes,Lunch,Vegetarian
Radish Soup Recipe,"Mooli Mullangi, Water, Garam Masala Powder, Salt, Black Pepper Powder, Mooli Mullangi, Coriander",7,10,30,40,4,Indian,Side Dish,Vegetarian
Mango Donut Cake Recipe With Chocolate Glaze,"Vivatta Maida, Mango Pulp, Baking Powder, Baking Soda, Sunflower Oil, Sugar, Salt, Vanilla Extract, Dark Chocolate, Fresh Cream, Cocoa Powder, Sugar",12,25,26,51,4,Continental,Dessert,Vegetarian
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,"All Purpose Flour, Sunflower Oil, Ajwain, Salt, Sunflower Oil, Green Peas, Paneer, Coriander Powder, Red Chilli Powder, Amchur, Turmeric Powder, Sunflower Oil, Salt And Pepper, Onion, Homemade Tomato Puree, Ginger Garlic Paste, Whole Cashews, Curd, Cloves, Mace, Cardamom, Cinnamon Stick, Cumin Seeds, Garam Masala Powder, Red Chilli Powder, Turmeric Powder, Coriander Powder, Kasuri Methi, Sugar, Salt, Coriander, Fresh Cream, Sunflower Oil",33,50,30,80,4,North Indian Recipes,Lunch,Vegetarian
Zucchini Roll Up Lasagne Recipe,"Green Zucchini, Salt, Extra Virgin Olive Oil, Mozzarella Cheese, Green Zucchini  Finely, Red Bell Pepper, Onion, Garlic, Dried Thyme Leaves, Rosemary, Red Chilli Flakes, Salt, Tomato, Onion, Garlic, Black Pepper Corns, Red Chilli Flakes, Sugar, Basil Leaves, Salt",20,20,45,65,4,Continental,Dinner,Vegetarian
Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),"Fresh Coconut, Cooked Rice, Mustard Seeds, White Urad Dal, Chana Dal, Raw Peanuts, Curry Leaves, Green Chilli, Ginger, Coconut Oil, Salt",11,30,30,60,4,South Indian Recipes,Lunch,Vegetarian
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,"Hog Plum, Fresh Coconut, Turmeric Powder, Coriander, Black Urad Dal, Rice, Methi Seeds, Whole Black Peppercorns, Dry Red Chilli, Jaggery, Asafoetida, Karela, Salt, Sunflower Oil, Sunflower Oil, Mustard Seeds, Asafoetida",17,25,25,50,4,Coastal Karnataka,Lunch,Vegetarian
Roasted Cauliflower Recipe,"Cauliflower, Garlic, Cumin Seeds, Coriander Powder, Black Pepper Powder Red Chilli Powder, Extra Virgin Olive Oil, Anardana Powder, Pomegranate Molasses, Fresh Herbs, Salt",10,15,25,40,4,South Indian Recipes,Dinner,Vegetarian
Pain Viennois | Vienna Bread Recipe,"Lukewarm Water, Active Dry Yeast, Sugar, Milk Powder, Vivatta Maida Half Of Bread Flour, Salt, Butter, Egg White",8,120,15,135,9,European,Main Course,Eggetarian
Crunchy Ginger Capsicum Rice Recipe,"Basmati Rice, Yellow Bell Pepper, Red Bell Pepper, Green Bell Pepper, Green Chilli, Ginger, Butter, Sesame Seeds, Salt",9,20,20,40,9,Indian,Lunch,Vegetarian
Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,"Poha, Rice Flour, Milk, Nolen Gur Brown Sugar, Cardamom, Mixed Nuts  Almondscashews, Raisins, Saffron Strands, Salt",9,15,30,45,6,Bengali Recipes,Dessert,Vegetarian
Makhan Recipe (Homemade Butter),"Fresh Cream, Water",2,10,0,10,10,North Indian Recipes,Side Dish,Vegetarian
Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),"Rice Flour, Salt, Sunflower Oil, Bok Choy, Carrot, Cabbage, Button Mushrooms, Corn Flour, Dark Soy Sauce, Bean Paste, Red Chilli Sauce, Sugar, Sunflower Oil, Salt",14,90,10,100,4,Chinese,One Pot Dish,Vegetarian
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,"Curd, Fresh Coconut, Vellai Poosanikai, Green Chilli, Black Pepper Powder, Water, Turmeric Powder, Salt, Coconut Oil, Mustard Seeds, Methi Seeds, Curry Leaves, Dry Red Chilli",13,10,25,35,2,Kerala Recipes,Lunch,Vegetarian
Paneer and Green Peas Paratha Recipe,"Green Peas, Cheese, Ginger   Green Chili, Turmeric Powder, Red Chili Powder, Mango Powder Powder, Coriander Powder, Salt, Wheat Flour, Salt, Oil, Water",12,20,45,65,4,North Indian Recipes,North Indian Breakfast,High Protein Vegetarian
Elephant Yam Raita ,"Elephant Yam, Green Chilli, Ginger, Coriander, Salt, Curd, Oil, Asafetida, , ",10,15,25,40,4,Indian,Side Dish,Vegetarian
Drunken Noodles Recipe,"Rice Noodles, Baby Corn, Capsicum, Capsicum, Capsicum, Thai Basil Leaves, Green Onion, Garlic, Ginger, Brown Sugar, Honey, Soy Sauce, Fish Sauce, Sriracha Sauce",14,10,25,35,4,Thai,Main Course,Vegetarian
Chettinad Style Prawn Biryani Recipe,"Shrimps Prawns, Basmati Rice, Shallots, Ginger, Garlic, Fresh Coconut, Green Chilli, Hung Curd, Curry Leaves, Sunflower Oil, Ghee, Coriander Powder, Red Chilli Powder, Turmeric Powder, Garam Masala Powder, Whole Black Peppercorns, Cardamom, Black Cardamom, Cinnamon Stick, Bay Leaves, Dry Red Chilli, Cumin Seeds",22,30,25,55,4,Chettinad,Lunch,Non Vegeterian
Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,"Walnuts, Dried Figs, Flax Seeds, Honey, Roasted Peanuts, Cinnamon Powder",6,5,20,25,4,Continental,World Breakfast,Vegetarian
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,"Chicken, Ginger, Garlic, Fresh Cream, Badam, Lemon Juice, Black Pepper Powder, Salt, Onion, Fresh Cream, Milk, Cardamom Powder, Cinnamon Stick, Bay Leaf, Kasuri Methi, Ghee",16,150,30,180,4,North Indian Recipes,Lunch,Non Vegeterian
Paal Kesari Recipe - South Indian Style Milk Kesari,"Sooji, Ghee, Milk, Sugar, Saffron Strands, Cardamom, Ghee, Cashew Nuts, Raisins, Mixed Dry Fruits",10,10,25,35,4,South Indian Recipes,Dessert,Vegetarian
Spicy Lemon Chicken Kebab Recipe,"Chicken Breasts, Red Bell Pepper, Onion, Lemon Juice, Dried Thyme Leaves, Red Chilli Flakes, Black Pepper Powder, Extra Virgin Olive Oil, Salt",9,60,30,90,4,Indian,Appetizer,Non Vegeterian
Layered Paneer Butter Masala Biryani Recipe,"Rice, Water, Ghee, Cardamom, , Star Anise, Cinnamon, Whole Black Pepper, Salt, Bay Leaf, Onion, Of Green Coriander, Of Mint, Of Cottage Cheese, Tomato, Cream, Onion, Ginger, Garlic, Green Chili, Cardamom Powder, Cumin Powder, Garam Masala Powder, Red Chilli Powder, Kasoori Methi, Honey, Salt, As Per, Cashews",29,20,25,45,4,North Indian Recipes,Main Course,Vegetarian
Gond Ke Ladoo Recipe - Edible Gum Ladoo,"Goond, Ghee, Whole Wheat Flour, Sugar, Dry Coconut, Badam, Cashew Nuts",7,15,60,75,20,North Indian Recipes,Dessert,Vegetarian
